benchmark=d_str_rep_nt,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/d_str_rep_nt/29601/sink.vmt,1,172.958356,93
benchmark/laut/d_str_rep_nt/20830/sink.vmt,0,121.989512,73
benchmark/laut/d_str_rep_nt/29952/sink.vmt,0,500.154830,98
benchmark/laut/d_str_rep_nt/26083/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/19745/sink.vmt,0,164.951474,81
benchmark/laut/d_str_rep_nt/30039/sink.vmt,0,581.475948,92
benchmark/laut/d_str_rep_nt/17979/sink.vmt,0,77.054232,73
benchmark/laut/d_str_rep_nt/17575/sink.vmt,1,125.894071,59
benchmark/laut/d_str_rep_nt/10209/sink.vmt,1,65.363431,103
benchmark/laut/d_str_rep_nt/33236/sink.vmt,0,19.353658,48
benchmark/laut/d_str_rep_nt/19253/sink.vmt,0,114.162191,86
benchmark/laut/d_str_rep_nt/19701/sink.vmt,0,123.495371,72
benchmark/laut/d_str_rep_nt/29737/sink.vmt,0,126.816915,77
benchmark/laut/d_str_rep_nt/15965/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/8291/sink.vmt,0,31.083483,64
benchmark/laut/d_str_rep_nt/14053/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/30184/sink.vmt,0,118.860689,70
benchmark/laut/d_str_rep_nt/19105/sink.vmt,0,27.813539,52
benchmark/laut/d_str_rep_nt/19508/sink.vmt,0,109.532453,76
benchmark/laut/d_str_rep_nt/30210/sink.vmt,0,159.297484,81
benchmark/laut/d_str_rep_nt/21094/sink.vmt,1,64.461907,110
benchmark/laut/d_str_rep_nt/29920/sink.vmt,0,267.929524,68
