benchmark=x-str-rep,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/x-str-rep/29337/sink.smt2,0,0.033413
benchmark/laut/x-str-rep/19650/sink.smt2,0,0.033438
benchmark/laut/x-str-rep/19911/sink.smt2,0,0.033409
benchmark/laut/x-str-rep/20603/sink.smt2,0,0.033390
benchmark/laut/x-str-rep/33020/sink.smt2,0,0.033391
benchmark/laut/x-str-rep/19125/sink.smt2,0,0.065464
benchmark/laut/x-str-rep/2180/sink.smt2,0,0.115654
benchmark/laut/x-str-rep/29766/sink.smt2,0,0.033508
benchmark/laut/x-str-rep/18493/sink.smt2,0,0.033352
benchmark/laut/x-str-rep/17241/sink.smt2,0,0.033499
benchmark/laut/x-str-rep/22306/sink.smt2,0,0.033430
benchmark/laut/x-str-rep/17363/sink.smt2,0,0.033400
benchmark/laut/x-str-rep/22109/sink.smt2,0,0.033416
benchmark/laut/x-str-rep/9032/sink.smt2,1,0.065465
benchmark/laut/x-str-rep/10206/sink.smt2,0,0.065615
benchmark/laut/x-str-rep/22336/sink.smt2,1,2.873201
benchmark/laut/x-str-rep/20800/sink.smt2,1,0.316280
benchmark/laut/x-str-rep/20094/sink.smt2,1,0.065628
benchmark/laut/x-str-rep/6361/sink.smt2,1,7.886934
benchmark/laut/x-str-rep/15961/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/14053/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/31697/sink.smt2,1,0.115660
benchmark/laut/x-str-rep/17688/sink.smt2,1,0.115804
benchmark/laut/x-str-rep/12115/sink.smt2,1,0.065609
benchmark/laut/x-str-rep/5169/sink.smt2,1,0.065617
benchmark/laut/x-str-rep/17499/sink.smt2,1,0.667124
benchmark/laut/x-str-rep/19508/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17647/sink.smt2,1,0.567300
benchmark/laut/x-str-rep/17172/sink.smt2,1,0.617103
benchmark/laut/x-str-rep/20731/sink.smt2,1,0.266124
benchmark/laut/x-str-rep/16760/sink.smt2,1,0.065467
benchmark/laut/x-str-rep/30341/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20707/sink.smt2,1,0.215934
benchmark/laut/x-str-rep/2172/sink.smt2,1,3.825464
benchmark/laut/x-str-rep/19543/sink.smt2,1,0.115684
benchmark/laut/x-str-rep/6345/sink.smt2,1,1.118492
benchmark/laut/x-str-rep/4418/sink.smt2,1,3.124111
benchmark/laut/x-str-rep/22402/sink.smt2,t,0.0
benchmark/laut/x-str-rep/16749/sink.smt2,1,0.033264
benchmark/laut/x-str-rep/23355/sink.smt2,t,0.0
benchmark/laut/x-str-rep/12116/sink.smt2,1,0.316666
benchmark/laut/x-str-rep/22045/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19062/sink.smt2,t,0.0
benchmark/laut/x-str-rep/29920/sink.smt2,t,0.0
benchmark/laut/x-str-rep/33040/sink.smt2,1,0.115535
benchmark/laut/x-str-rep/23425/sink.smt2,1,0.115675
benchmark/laut/x-str-rep/19352/sink.smt2,1,4.377700
benchmark/laut/x-str-rep/22237/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17778/sink.smt2,1,10.044325
benchmark/laut/x-str-rep/17961/sink.smt2,1,0.165902
