benchmark=kaluza,solver=trau,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1694/sink.s3,0,0.033985
benchmark/laut/kaluza/628/sink.s3,1,0.066664
benchmark/laut/kaluza/375/sink.s3,1,0.070497
benchmark/laut/kaluza/407/sink.s3,0,0.037420
benchmark/laut/kaluza/16/sink.s3,1,0.071654
benchmark/laut/kaluza/1726/sink.s3,1,0.066149
benchmark/laut/kaluza/1556/sink.s3,0,0.019477
benchmark/laut/kaluza/1277/sink.s3,0,0.036556
benchmark/laut/kaluza/609/sink.s3,1,0.070378
benchmark/laut/kaluza/506/sink.s3,1,0.067988
benchmark/laut/kaluza/598/sink.s3,1,0.069323
benchmark/laut/kaluza/742/sink.s3,1,0.078463
benchmark/laut/kaluza/427/sink.s3,1,0.068899
benchmark/laut/kaluza/235/sink.s3,0,0.068423
benchmark/laut/kaluza/1663/sink.s3,1,0.119828
benchmark/laut/kaluza/756/sink.s3,1,0.067082
benchmark/laut/kaluza/238/sink.s3,1,0.065041
benchmark/laut/kaluza/833/sink.s3,1,0.180122
benchmark/laut/kaluza/1771/sink.s3,1,0.066615
benchmark/laut/kaluza/750/sink.s3,0,0.034132
benchmark/laut/kaluza/960/sink.s3,0,0.034273
benchmark/laut/kaluza/129/sink.s3,1,0.070662
benchmark/laut/kaluza/980/sink.s3,1,0.066821
benchmark/laut/kaluza/1559/sink.s3,0,0.036458
benchmark/laut/kaluza/1974/sink.s3,1,0.072554
benchmark/laut/kaluza/273/sink.s3,1,0.068933
benchmark/laut/kaluza/1054/sink.s3,0,0.035687
benchmark/laut/kaluza/278/sink.s3,1,0.071251
benchmark/laut/kaluza/549/sink.s3,0,0.021405
benchmark/laut/kaluza/1716/sink.s3,1,0.067250
benchmark/laut/kaluza/619/sink.s3,0,0.034678
benchmark/laut/kaluza/242/sink.s3,1,0.067233
benchmark/laut/kaluza/995/sink.s3,0,0.070320
benchmark/laut/kaluza/85/sink.s3,1,0.071920
benchmark/laut/kaluza/122/sink.s3,0,0.041452
benchmark/laut/kaluza/757/sink.s3,1,0.068092
benchmark/laut/kaluza/1667/sink.s3,0,0.037481
benchmark/laut/kaluza/1995/sink.s3,1,0.066719
benchmark/laut/kaluza/1810/sink.s3,1,0.067776
benchmark/laut/kaluza/1406/sink.s3,1,0.072473
benchmark/laut/kaluza/125/sink.s3,1,0.124356
benchmark/laut/kaluza/343/sink.s3,0,0.069437
benchmark/laut/kaluza/703/sink.s3,0,0.034992
benchmark/laut/kaluza/503/sink.s3,1,0.067957
benchmark/laut/kaluza/1973/sink.s3,0,0.034380
benchmark/laut/kaluza/1297/sink.s3,0,0.040324
benchmark/laut/kaluza/280/sink.s3,0,0.316807
benchmark/laut/kaluza/1307/sink.s3,0,0.034106
benchmark/laut/kaluza/1766/sink.s3,0,0.017344
benchmark/laut/kaluza/1315/sink.s3,0,0.035272
benchmark/laut/kaluza/590/sink.s3,1,0.067104
benchmark/laut/kaluza/526/sink.s3,0,0.070290
benchmark/laut/kaluza/1786/sink.s3,1,0.035929
benchmark/laut/kaluza/788/sink.s3,1,0.068956
benchmark/laut/kaluza/1782/sink.s3,0,0.042514
benchmark/laut/kaluza/708/sink.s3,1,0.067338
benchmark/laut/kaluza/674/sink.s3,1,0.069728
benchmark/laut/kaluza/887/sink.s3,0,0.036887
benchmark/laut/kaluza/220/sink.s3,1,0.034943
benchmark/laut/kaluza/1227/sink.s3,0,0.035510
benchmark/laut/kaluza/1163/sink.s3,0,0.019415
benchmark/laut/kaluza/733/sink.s3,0,0.034331
benchmark/laut/kaluza/1448/sink.s3,0,0.018113
benchmark/laut/kaluza/164/sink.s3,1,0.069738
benchmark/laut/kaluza/829/sink.s3,0,0.068735
benchmark/laut/kaluza/253/sink.s3,1,0.471539
