benchmark=kaluza,solver=ic3ia,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/598/sink.vmt,1,0.116507,11
benchmark/laut/kaluza/742/sink.vmt,1,0.267369,20
benchmark/laut/kaluza/427/sink.vmt,1,0.318349,11
benchmark/laut/kaluza/235/sink.vmt,0,0.034536,1
benchmark/laut/kaluza/1663/sink.vmt,1,0.066544,4
benchmark/laut/kaluza/756/sink.vmt,1,0.224045,19
benchmark/laut/kaluza/238/sink.vmt,1,0.032730,1
benchmark/laut/kaluza/833/sink.vmt,1,0.018105,0
benchmark/laut/kaluza/1771/sink.vmt,1,0.269687,20
benchmark/laut/kaluza/750/sink.vmt,0,0.033547,1
benchmark/laut/kaluza/960/sink.vmt,0,0.324181,16
benchmark/laut/kaluza/129/sink.vmt,1,0.672906,6
benchmark/laut/kaluza/980/sink.vmt,1,0.329435,20
benchmark/laut/kaluza/1559/sink.vmt,0,0.066133,1
benchmark/laut/kaluza/1974/sink.vmt,1,0.066156,1
benchmark/laut/kaluza/273/sink.vmt,1,0.037330,0
benchmark/laut/kaluza/1054/sink.vmt,0,0.323602,16
benchmark/laut/kaluza/278/sink.vmt,1,0.041613,1
benchmark/laut/kaluza/549/sink.vmt,0,0.034056,1
benchmark/laut/kaluza/1716/sink.vmt,1,0.268151,19
benchmark/laut/kaluza/619/sink.vmt,0,0.034021,1
benchmark/laut/kaluza/242/sink.vmt,1,0.041979,0
benchmark/laut/kaluza/995/sink.vmt,0,0.018761,1
benchmark/laut/kaluza/85/sink.vmt,1,0.040460,2
benchmark/laut/kaluza/122/sink.vmt,0,0.017431,1
benchmark/laut/kaluza/757/sink.vmt,1,0.269664,20
benchmark/laut/kaluza/1667/sink.vmt,0,0.017371,1
benchmark/laut/kaluza/1995/sink.vmt,1,0.370186,20
benchmark/laut/kaluza/1810/sink.vmt,1,0.069184,1
benchmark/laut/kaluza/1406/sink.vmt,1,0.118915,11
benchmark/laut/kaluza/125/sink.vmt,1,0.471045,6
benchmark/laut/kaluza/343/sink.vmt,0,0.036282,1
benchmark/laut/kaluza/703/sink.vmt,0,0.015882,1
benchmark/laut/kaluza/503/sink.vmt,1,0.230923,19
benchmark/laut/kaluza/1973/sink.vmt,0,0.017520,1
benchmark/laut/kaluza/1297/sink.vmt,0,0.040587,1
benchmark/laut/kaluza/280/sink.vmt,0,0.266826,1
benchmark/laut/kaluza/1307/sink.vmt,0,0.017109,1
benchmark/laut/kaluza/1766/sink.vmt,0,0.033059,1
benchmark/laut/kaluza/1315/sink.vmt,0,0.038117,1
benchmark/laut/kaluza/590/sink.vmt,1,0.266954,19
benchmark/laut/kaluza/526/sink.vmt,0,0.327626,16
benchmark/laut/kaluza/1786/sink.vmt,1,0.069398,1
benchmark/laut/kaluza/788/sink.vmt,1,0.320482,11
benchmark/laut/kaluza/1782/sink.vmt,0,0.186566,9
benchmark/laut/kaluza/708/sink.vmt,1,0.318920,11
benchmark/laut/kaluza/674/sink.vmt,1,0.033684,1
benchmark/laut/kaluza/887/sink.vmt,0,0.038114,1
benchmark/laut/kaluza/220/sink.vmt,1,0.017446,0
benchmark/laut/kaluza/1227/sink.vmt,0,0.033971,1
benchmark/laut/kaluza/1163/sink.vmt,0,0.016630,1
benchmark/laut/kaluza/733/sink.vmt,0,0.035439,1
benchmark/laut/kaluza/1448/sink.vmt,0,0.069382,1
benchmark/laut/kaluza/164/sink.vmt,1,0.065857,4
benchmark/laut/kaluza/829/sink.vmt,0,0.033389,1
benchmark/laut/kaluza/253/sink.vmt,t,0.0,0
benchmark/laut/kaluza/1040/sink.vmt,0,0.226909,13
benchmark/laut/kaluza/112/sink.vmt,1,0.066948,3
benchmark/laut/kaluza/963/sink.vmt,1,0.117877,11
benchmark/laut/kaluza/600/sink.vmt,0,0.017290,1
benchmark/laut/kaluza/1683/sink.vmt,t,0.0,0
benchmark/laut/kaluza/939/sink.vmt,1,0.318853,18
benchmark/laut/kaluza/1642/sink.vmt,0,0.033179,1
benchmark/laut/kaluza/838/sink.vmt,0,0.043095,1
benchmark/laut/kaluza/832/sink.vmt,0,0.035222,1
