benchmark=kaluza,solver=s3p,TO=20.000000
path,sat,time
benchmark/laut/kaluza/931/sink.s3,1,0.035089
benchmark/laut/kaluza/1189/sink.s3,0,0.035115
benchmark/laut/kaluza/1664/sink.s3,1,0.034411
benchmark/laut/kaluza/1923/sink.s3,1,0.035361
benchmark/laut/kaluza/1478/sink.s3,0,0.037055
benchmark/laut/kaluza/985/sink.s3,0,0.033413
benchmark/laut/kaluza/1694/sink.s3,0,0.036226
benchmark/laut/kaluza/628/sink.s3,1,0.049276
benchmark/laut/kaluza/375/sink.s3,1,0.036638
benchmark/laut/kaluza/407/sink.s3,0,0.034840
benchmark/laut/kaluza/16/sink.s3,1,0.070466
benchmark/laut/kaluza/1726/sink.s3,1,0.038954
benchmark/laut/kaluza/1556/sink.s3,0,0.033499
benchmark/laut/kaluza/1277/sink.s3,0,0.035293
benchmark/laut/kaluza/609/sink.s3,1,0.036015
benchmark/laut/kaluza/506/sink.s3,1,0.035855
benchmark/laut/kaluza/598/sink.s3,1,0.034668
benchmark/laut/kaluza/742/sink.s3,1,0.035589
benchmark/laut/kaluza/427/sink.s3,1,0.065086
benchmark/laut/kaluza/235/sink.s3,0,0.035325
benchmark/laut/kaluza/1663/sink.s3,1,0.037942
benchmark/laut/kaluza/756/sink.s3,1,0.034308
benchmark/laut/kaluza/238/sink.s3,1,0.066340
benchmark/laut/kaluza/833/sink.s3,1,0.034846
benchmark/laut/kaluza/1771/sink.s3,1,0.065387
benchmark/laut/kaluza/750/sink.s3,0,0.040701
benchmark/laut/kaluza/960/sink.s3,0,0.035635
benchmark/laut/kaluza/129/sink.s3,1,0.066316
benchmark/laut/kaluza/980/sink.s3,1,0.067002
benchmark/laut/kaluza/1559/sink.s3,0,0.034334
benchmark/laut/kaluza/1974/sink.s3,1,0.035320
benchmark/laut/kaluza/273/sink.s3,1,0.035224
benchmark/laut/kaluza/1054/sink.s3,0,0.034173
benchmark/laut/kaluza/278/sink.s3,1,0.035043
benchmark/laut/kaluza/549/sink.s3,0,0.034932
benchmark/laut/kaluza/1716/sink.s3,1,0.067273
benchmark/laut/kaluza/619/sink.s3,0,0.069864
benchmark/laut/kaluza/242/sink.s3,1,0.040734
benchmark/laut/kaluza/995/sink.s3,0,0.034446
benchmark/laut/kaluza/85/sink.s3,1,0.034680
benchmark/laut/kaluza/122/sink.s3,0,0.034817
benchmark/laut/kaluza/757/sink.s3,1,0.034616
benchmark/laut/kaluza/1667/sink.s3,0,0.036538
benchmark/laut/kaluza/1995/sink.s3,1,0.066038
benchmark/laut/kaluza/1810/sink.s3,1,0.034225
benchmark/laut/kaluza/1406/sink.s3,1,0.066970
benchmark/laut/kaluza/125/sink.s3,1,0.068020
