benchmark=kaluza,solver=norn,TO=20.000000
path,sat,time
benchmark/laut/kaluza/582/sink.smt2,0,0.823882
benchmark/laut/kaluza/1272/sink.smt2,1,1.025492
benchmark/laut/kaluza/1879/sink.smt2,1,0.974171
benchmark/laut/kaluza/1186/sink.smt2,0,0.877349
benchmark/laut/kaluza/448/sink.smt2,1,1.078402
benchmark/laut/kaluza/722/sink.smt2,1,1.076473
benchmark/laut/kaluza/794/sink.smt2,0,0.823049
benchmark/laut/kaluza/881/sink.smt2,1,1.027685
benchmark/laut/kaluza/941/sink.smt2,1,1.175927
benchmark/laut/kaluza/86/sink.smt2,1,2.482865
benchmark/laut/kaluza/24/sink.smt2,0,0.879106
benchmark/laut/kaluza/630/sink.smt2,0,0.826284
benchmark/laut/kaluza/583/sink.smt2,0,0.929223
benchmark/laut/kaluza/1802/sink.smt2,0,0.875757
benchmark/laut/kaluza/706/sink.smt2,0,0.976673
benchmark/laut/kaluza/1670/sink.smt2,1,1.176405
benchmark/laut/kaluza/1861/sink.smt2,0,0.826173
benchmark/laut/kaluza/1767/sink.smt2,1,1.278300
benchmark/laut/kaluza/1015/sink.smt2,0,0.772940
benchmark/laut/kaluza/1063/sink.smt2,0,0.973615
benchmark/laut/kaluza/1633/sink.smt2,1,1.026263
benchmark/laut/kaluza/1548/sink.smt2,0,0.823448
benchmark/laut/kaluza/859/sink.smt2,1,1.078060
benchmark/laut/kaluza/856/sink.smt2,1,1.173658
benchmark/laut/kaluza/495/sink.smt2,0,0.821928
benchmark/laut/kaluza/206/sink.smt2,1,1.181568
benchmark/laut/kaluza/1312/sink.smt2,1,1.023183
benchmark/laut/kaluza/1772/sink.smt2,0,0.825078
benchmark/laut/kaluza/1921/sink.smt2,1,1.024017
benchmark/laut/kaluza/1209/sink.smt2,1,1.074308
benchmark/laut/kaluza/912/sink.smt2,0,0.923816
benchmark/laut/kaluza/956/sink.smt2,0,0.926037
benchmark/laut/kaluza/1584/sink.smt2,0,0.826062
benchmark/laut/kaluza/1846/sink.smt2,0,0.779985
benchmark/laut/kaluza/1696/sink.smt2,1,1.073146
benchmark/laut/kaluza/474/sink.smt2,1,1.181947
benchmark/laut/kaluza/140/sink.smt2,0,0.979480
benchmark/laut/kaluza/1490/sink.smt2,1,1.279006
benchmark/laut/kaluza/1486/sink.smt2,0,0.877345
benchmark/laut/kaluza/1682/sink.smt2,0,0.827674
benchmark/laut/kaluza/1367/sink.smt2,1,1.281403
benchmark/laut/kaluza/439/sink.smt2,0,0.822142
benchmark/laut/kaluza/918/sink.smt2,0,0.870461
benchmark/laut/kaluza/50/sink.smt2,0,0.825744
benchmark/laut/kaluza/1198/sink.smt2,0,0.877369
benchmark/laut/kaluza/519/sink.smt2,0,0.827847
benchmark/laut/kaluza/758/sink.smt2,1,1.279089
benchmark/laut/kaluza/90/sink.smt2,1,1.031826
benchmark/laut/kaluza/312/sink.smt2,0,0.775615
benchmark/laut/kaluza/1589/sink.smt2,0,0.870673
benchmark/laut/kaluza/1785/sink.smt2,0,0.834732
benchmark/laut/kaluza/1998/sink.smt2,0,0.827996
benchmark/laut/kaluza/1396/sink.smt2,1,1.025997
benchmark/laut/kaluza/1703/sink.smt2,1,0.973563
benchmark/laut/kaluza/1522/sink.smt2,0,0.875381
benchmark/laut/kaluza/970/sink.smt2,0,0.827704
benchmark/laut/kaluza/1375/sink.smt2,1,1.126258
benchmark/laut/kaluza/1176/sink.smt2,0,0.774338
benchmark/laut/kaluza/1064/sink.smt2,1,0.974698
benchmark/laut/kaluza/171/sink.smt2,1,1.174733
benchmark/laut/kaluza/1763/sink.smt2,0,0.874808
benchmark/laut/kaluza/1083/sink.smt2,0,0.823178
benchmark/laut/kaluza/1797/sink.smt2,0,0.822521
benchmark/laut/kaluza/1078/sink.smt2,1,1.025269
benchmark/laut/kaluza/1266/sink.smt2,0,0.921038
