benchmark=kaluza,solver=ABC,TO=20.000000
path,sat,time
benchmark/laut/kaluza/28/sink.s3,1,0.115619
benchmark/laut/kaluza/854/sink.s3,1,0.319650
benchmark/laut/kaluza/1950/sink.s3,0,0.019284
benchmark/laut/kaluza/925/sink.s3,1,0.269950
benchmark/laut/kaluza/326/sink.s3,0,0.037314
benchmark/laut/kaluza/1443/sink.s3,0,0.071320
benchmark/laut/kaluza/213/sink.s3,1,0.067624
benchmark/laut/kaluza/1314/sink.s3,0,0.217622
benchmark/laut/kaluza/705/sink.s3,1,0.273520
benchmark/laut/kaluza/455/sink.s3,0,0.223054
benchmark/laut/kaluza/491/sink.s3,0,0.034138
benchmark/laut/kaluza/685/sink.s3,1,0.370197
benchmark/laut/kaluza/1034/sink.s3,1,0.273722
benchmark/laut/kaluza/81/sink.s3,1,0.168721
benchmark/laut/kaluza/460/sink.s3,0,0.019998
benchmark/laut/kaluza/414/sink.s3,1,0.275029
benchmark/laut/kaluza/1609/sink.s3,0,0.034675
benchmark/laut/kaluza/147/sink.s3,1,0.218217
benchmark/laut/kaluza/1714/sink.s3,0,0.074874
benchmark/laut/kaluza/1248/sink.s3,0,0.018442
benchmark/laut/kaluza/1864/sink.s3,0,0.020155
benchmark/laut/kaluza/713/sink.s3,1,0.068938
benchmark/laut/kaluza/362/sink.s3,0,0.034165
benchmark/laut/kaluza/728/sink.s3,0,0.022306
benchmark/laut/kaluza/1684/sink.s3,1,0.066157
benchmark/laut/kaluza/1270/sink.s3,0,0.065581
benchmark/laut/kaluza/1770/sink.s3,t,0.0
benchmark/laut/kaluza/1700/sink.s3,1,0.267937
benchmark/laut/kaluza/1784/sink.s3,0,0.034262
benchmark/laut/kaluza/446/sink.s3,0,0.040236
benchmark/laut/kaluza/1965/sink.s3,1,0.871846
benchmark/laut/kaluza/822/sink.s3,1,0.217605
benchmark/laut/kaluza/1048/sink.s3,1,0.270348
benchmark/laut/kaluza/3/sink.s3,0,0.065805
benchmark/laut/kaluza/1168/sink.s3,0,0.216944
