benchmark=kaluza,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1786/sink.smt2,1,0.017584
benchmark/laut/kaluza/788/sink.smt2,1,0.033609
benchmark/laut/kaluza/1782/sink.smt2,0,0.016649
benchmark/laut/kaluza/708/sink.smt2,1,0.017703
benchmark/laut/kaluza/674/sink.smt2,1,0.019481
benchmark/laut/kaluza/887/sink.smt2,0,0.018252
benchmark/laut/kaluza/220/sink.smt2,1,0.018341
benchmark/laut/kaluza/1227/sink.smt2,0,0.018261
benchmark/laut/kaluza/1163/sink.smt2,0,0.016959
benchmark/laut/kaluza/733/sink.smt2,0,0.017509
benchmark/laut/kaluza/1448/sink.smt2,0,0.019015
benchmark/laut/kaluza/164/sink.smt2,1,0.018568
benchmark/laut/kaluza/829/sink.smt2,0,0.017367
benchmark/laut/kaluza/253/sink.smt2,1,0.071125
benchmark/laut/kaluza/1040/sink.smt2,0,0.016305
benchmark/laut/kaluza/112/sink.smt2,1,0.017511
benchmark/laut/kaluza/963/sink.smt2,1,0.019628
benchmark/laut/kaluza/600/sink.smt2,0,0.021047
benchmark/laut/kaluza/1683/sink.smt2,1,0.119310
benchmark/laut/kaluza/939/sink.smt2,1,0.040501
benchmark/laut/kaluza/1642/sink.smt2,0,0.017300
benchmark/laut/kaluza/838/sink.smt2,0,0.019354
benchmark/laut/kaluza/832/sink.smt2,0,0.017462
benchmark/laut/kaluza/490/sink.smt2,0,0.017667
benchmark/laut/kaluza/223/sink.smt2,0,0.019073
benchmark/laut/kaluza/681/sink.smt2,1,0.034331
benchmark/laut/kaluza/1935/sink.smt2,1,0.036829
benchmark/laut/kaluza/415/sink.smt2,1,0.034741
benchmark/laut/kaluza/477/sink.smt2,1,0.035350
benchmark/laut/kaluza/764/sink.smt2,1,0.036346
benchmark/laut/kaluza/1897/sink.smt2,0,0.039175
benchmark/laut/kaluza/622/sink.smt2,0,0.035138
benchmark/laut/kaluza/233/sink.smt2,1,0.080540
benchmark/laut/kaluza/1018/sink.smt2,1,0.039893
benchmark/laut/kaluza/418/sink.smt2,1,0.035136
benchmark/laut/kaluza/1349/sink.smt2,1,0.035488
benchmark/laut/kaluza/657/sink.smt2,1,0.022574
benchmark/laut/kaluza/244/sink.smt2,0,0.021482
benchmark/laut/kaluza/1972/sink.smt2,0,0.017283
benchmark/laut/kaluza/1637/sink.smt2,0,0.017763
benchmark/laut/kaluza/847/sink.smt2,1,0.019536
benchmark/laut/kaluza/1234/sink.smt2,1,0.018286
benchmark/laut/kaluza/60/sink.smt2,1,0.018383
benchmark/laut/kaluza/1461/sink.smt2,1,0.018242
benchmark/laut/kaluza/795/sink.smt2,1,0.034283
benchmark/laut/kaluza/1690/sink.smt2,1,0.037925
benchmark/laut/kaluza/1049/sink.smt2,0,0.037423
benchmark/laut/kaluza/131/sink.smt2,0,0.036644
benchmark/laut/kaluza/26/sink.smt2,0,0.019277
benchmark/laut/kaluza/37/sink.smt2,1,0.019028
benchmark/laut/kaluza/1121/sink.smt2,0,0.018899
benchmark/laut/kaluza/1366/sink.smt2,0,0.030227
benchmark/laut/kaluza/1986/sink.smt2,1,0.035463
benchmark/laut/kaluza/271/sink.smt2,1,0.070066
benchmark/laut/kaluza/1528/sink.smt2,1,0.018352
benchmark/laut/kaluza/1516/sink.smt2,1,0.017228
